J,R,E,M,algo,runtime,kendalls_tau,mae
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),0,Conjugate Priors,2574.8074929714203,0.1935353535353535,9.387052341597796
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),1,Conjugate Priors,1598.8658773899078,0.341010101010101,20.073002754820937
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),2,Conjugate Priors,1894.5373878479004,0.2353535353535353,11.724517906336088
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),3,Conjugate Priors,3079.0304684638977,0.1967676767676767,8.387052341597796
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),4,Conjugate Priors,2739.965918302536,0.1727272727272726,8.263085399449036
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),5,Conjugate Priors,2368.4951236248016,0.3284848484848485,18.72038567493113
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),6,Conjugate Priors,1601.025482416153,0.2218181818181817,10.820936639118456
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),7,Conjugate Priors,3205.9157543182373,0.2612121212121212,13.398071625344352
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),8,Conjugate Priors,2991.8235652446747,0.2797979797979797,15.65977961432507
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),9,Conjugate Priors,2476.339548587799,0.2022222222222222,8.353994490358128
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),10,Conjugate Priors,1778.7717456817627,0.2662626262626262,14.359504132231406
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),11,Conjugate Priors,3004.5401923656464,0.1418181818181818,6.808539944903581
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),12,Conjugate Priors,1624.105271100998,0.1783838383838383,8.65702479338843
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),13,Conjugate Priors,1620.1395106315613,0.188080808080808,11.65702479338843
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),14,Conjugate Priors,1684.603502511978,0.2139393939393939,11.017906336088156
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),15,Conjugate Priors,2978.7576417922974,0.2408080808080807,12.146005509641872
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),16,Conjugate Priors,2318.011034727097,0.2341414141414141,11.81129476584022
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),17,Conjugate Priors,2086.399698495865,0.2547474747474747,14.590909090909092
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),18,Conjugate Priors,2614.457109212876,0.3369696969696969,19.8870523415978
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),19,Conjugate Priors,1595.247173786163,0.3024242424242424,17.092286501377412
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),20,Conjugate Priors,2427.52406334877,0.2636363636363635,13.820936639118456
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),21,Conjugate Priors,2553.732709169388,0.2321212121212121,12.147382920110193
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),22,Conjugate Priors,2364.093877315521,0.2575757575757575,13.166666666666666
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),23,Conjugate Priors,1781.7839193344116,0.1935353535353535,8.523415977961433
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),24,Conjugate Priors,2786.736649990082,0.1725252525252525,8.585399449035812
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),25,Conjugate Priors,2692.8485593795776,0.3068686868686868,18.99586776859504
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),26,Conjugate Priors,2558.677864551544,0.2484848484848484,14.345730027548209
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),27,Conjugate Priors,1911.5590109825132,0.2282828282828282,11.865013774104684
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),28,Conjugate Priors,1872.9744369983675,0.3226262626262626,17.78374655647383
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),29,Conjugate Priors,1812.4243834018707,0.1333333333333332,6.840220385674932
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),30,Conjugate Priors,1848.7051136493685,0.25010101010101,12.734159779614323
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),31,Conjugate Priors,1613.995127439499,0.2874747474747474,15.06473829201102
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),32,Conjugate Priors,2064.657520055771,0.2256565656565656,12.506887052341598
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),33,Conjugate Priors,1589.652315378189,0.1947474747474746,9.349862258953168
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),34,Conjugate Priors,1827.262008666992,0.1931313131313131,9.734159779614323
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),35,Conjugate Priors,1607.5430252552032,0.1214141414141413,4.683195592286501
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),36,Conjugate Priors,2079.143336057663,0.3274747474747475,15.523415977961433
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),37,Conjugate Priors,1920.524587869644,0.3165656565656565,18.426997245179063
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),38,Conjugate Priors,1905.3402104377749,0.206060606060606,10.65702479338843
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),39,Conjugate Priors,3315.1443843841557,0.2923232323232323,15.221763085399449
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),40,Conjugate Priors,3018.044685602188,0.2224242424242424,11.055096418732782
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),41,Conjugate Priors,2026.0288965702057,0.2991919191919192,17.732782369146005
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),42,Conjugate Priors,1881.315412282944,0.1147474747474747,5.002754820936639
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),43,Conjugate Priors,3256.5740118026733,0.1979797979797979,10.289256198347108
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),44,Conjugate Priors,1895.835827589035,0.1446464646464645,6.648760330578512
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),45,Conjugate Priors,2042.263113975525,0.3369696969696969,19.34710743801653
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),46,Conjugate Priors,2304.0080540180206,0.3284848484848485,18.398071625344357
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),47,Conjugate Priors,1791.906128168106,0.1587878787878787,5.34573002754821
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),48,Conjugate Priors,2582.1327378749847,0.3961616161616161,25.049586776859503
726,0.21,Exp 1: S + Ordinal kj (DM) + X (Normal),49,Conjugate Priors,3111.9629595279694,0.1246464646464646,4.775482093663912
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),0,Conjugate Priors,3174.2488162517548,0.307070707070707,16.38292011019284
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),1,Conjugate Priors,1598.0977458953855,0.4109090909090909,23.86088154269973
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),2,Conjugate Priors,2330.957883119583,0.1664646464646464,5.370523415977962
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),3,Conjugate Priors,2910.0617632865906,0.2735353535353535,13.03581267217631
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),4,Conjugate Priors,2423.9118025302887,0.2313131313131313,11.118457300275482
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),5,Conjugate Priors,2398.2076518535614,0.406060606060606,25.1267217630854
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),6,Conjugate Priors,1590.5296461582184,0.2266666666666666,11.717630853994493
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),7,Conjugate Priors,1924.5878562927248,0.2569696969696969,13.81267217630854
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),8,Conjugate Priors,2122.823397874832,0.3234343434343434,15.410468319559229
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),9,Conjugate Priors,2494.913033246994,0.1424242424242424,4.337465564738292
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),10,Conjugate Priors,2445.760134458542,0.3298989898989899,18.88292011019284
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),11,Conjugate Priors,1618.877107381821,0.1387878787878787,4.577134986225896
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),12,Conjugate Priors,1620.1892352104187,0.1705050505050504,8.931129476584022
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),13,Conjugate Priors,1631.8838245868685,0.2547474747474747,14.782369146005507
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),14,Conjugate Priors,1594.4126961231232,0.2474747474747474,13.980716253443529
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),15,Conjugate Priors,2990.8476185798645,0.2444444444444444,11.319559228650135
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),16,Conjugate Priors,1594.2093768119812,0.23010101010101,11.296143250688706
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),17,Conjugate Priors,1881.3801066875455,0.2771717171717171,15.420110192837466
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),18,Conjugate Priors,2094.758381128311,0.3523232323232322,19.49173553719008
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),19,Conjugate Priors,2105.4030690193176,0.1953535353535353,8.271349862258953
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),20,Conjugate Priors,3699.278792858124,0.2583838383838384,14.429752066115702
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),21,Conjugate Priors,3172.4800395965576,0.3385858585858585,18.3732782369146
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),22,Conjugate Priors,3140.9574041366577,0.1591919191919191,8.378787878787879
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),23,Conjugate Priors,1754.4076070785522,0.1707070707070706,8.608815426997245
726,0.21,Exp 2: S + Ordinal kj (DM) + X (Non-Normal),24,Conjugate Priors,2702.6101202964783,0.2212121212121211,11.307162534435262
